City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,11.88,93,44,10.69,RU,1728599230
1,edinburgh of the seven seas,-37.0676,-12.3116,55.15,76,38,28.72,SH,1728599231
2,grytviken,-54.2811,-36.5092,30.09,95,100,5.21,GS,1728599232
3,prainha,-1.8,-53.48,87.55,43,56,4.34,BR,1728599233
4,hermanus,-34.4187,19.2345,58.39,78,99,5.53,ZA,1728599234
5,jianshui,23.6363,102.8264,62.08,98,71,2.21,CN,1728599235
6,kapuskasing,49.4169,-82.4331,57.2,58,75,5.75,CA,1728599237
7,port-aux-francais,-49.35,70.2167,35.02,94,83,39.26,TF,1728599238
8,garupa,-27.4817,-55.8292,68.14,94,100,5.75,AR,1728599239
9,dudinka,69.4058,86.1778,16.02,90,57,12.73,RU,1728599240
10,pathein,16.7833,94.7333,76.15,89,16,3.98,MM,1728599241
11,bredasdorp,-34.5322,20.0403,54.61,82,100,4.7,ZA,1728599195
12,kavieng,-2.5744,150.7967,83.21,77,87,10.25,PG,1728599243
13,alotau,-10.3069,150.4462,78.22,93,99,4.85,PG,1728599245
14,ararat,39.8317,44.7049,70.72,26,100,5.84,AM,1728599246
15,adamstown,-25.066,-130.1015,70.03,86,100,17.27,PN,1728599247
16,bethel,41.3712,-73.414,55.9,62,5,6.87,US,1728599005
17,bilibino,68.0546,166.4372,4.64,97,65,2.37,RU,1728599249
18,georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,1728599250
19,saryozek,44.3583,77.9753,58.12,40,100,2.55,KZ,1728599252
20,narail,23.1667,89.5,76.78,94,0,5.32,BD,1728599253
21,albany,42.6001,-73.9662,50.41,65,12,4.0,US,1728599254
22,ancud,-41.8697,-73.8203,47.43,87,100,5.95,CL,1728599255
23,mangrol,21.1167,70.1167,74.08,84,100,18.77,IN,1728599256
24,punta arenas,-53.15,-70.9167,44.71,65,75,16.11,CL,1728599257
25,peace river,56.2501,-117.286,55.71,32,0,14.97,CA,1728599259
26,cockburn town,21.4612,-71.1419,86.13,72,81,6.06,TC,1728599134
27,longyearbyen,78.2186,15.6401,39.04,75,75,19.57,SJ,1728599261
28,ushuaia,-54.8,-68.3,40.66,81,100,16.11,AR,1728599000
29,timimoun,29.2639,0.231,77.38,12,0,0.0,DZ,1728599263
30,ust-nera,64.5667,143.2,16.61,83,85,4.27,RU,1728599264
31,whitehorse,60.7161,-135.0538,41.77,65,75,12.66,CA,1728599267
32,kayangel,8.0823,134.7173,83.68,75,68,7.18,PW,1728599268
33,nalut,30.3333,10.85,87.42,20,24,5.23,LY,1728599269
34,blackmans bay,-43.0167,147.3167,55.53,57,85,11.01,AU,1728599270
35,karratha,-20.7377,116.8463,78.28,51,4,16.44,AU,1728599272
36,metlili chaamba,32.2667,3.6333,79.74,28,0,5.75,DZ,1728599273
37,hadibu,12.65,54.0333,77.9,84,32,3.0,YE,1728599274
38,port lincoln,-34.7333,135.8667,55.29,66,100,10.65,AU,1728599276
39,afaahiti,-17.75,-149.2833,70.56,95,100,13.42,PF,1728599280
40,ribeira grande,38.5167,-28.7,66.78,87,80,17.0,PT,1728599281
41,bamboo flat,11.7,92.7167,78.89,94,20,2.3,IN,1728599282
42,college,64.8569,-147.8028,35.55,85,100,4.61,US,1728599283
43,tsiombe,-25.3,45.4833,71.46,74,4,8.08,MG,1728599285
44,eureka,40.8021,-124.1637,66.25,64,35,4.0,US,1728599286
45,hamilton,39.1834,-84.5333,69.84,41,0,3.44,US,1728599287
46,tura,25.5198,90.2201,70.65,96,27,3.44,IN,1728599288
47,luderitz,-26.6481,15.1594,59.36,71,0,10.09,NA,1728599289
48,waitangi,-43.9535,-176.5597,51.82,70,78,3.0,NZ,1728599290
49,bardai,11.65,7.2333,75.83,65,48,5.26,NG,1728599292
50,stanley,54.868,-1.6985,35.62,87,0,4.61,GB,1728599293
51,morant bay,17.8815,-76.4093,84.65,76,100,3.76,JM,1728599294
52,lata,40.1629,-8.3327,55.85,75,52,3.33,PT,1728599295
53,kalabo,-14.97,22.6814,68.77,21,3,9.37,ZM,1728599296
54,iqaluit,63.7506,-68.5145,33.53,74,75,0.0,CA,1728599297
55,yerofey pavlovich,53.9667,121.9667,28.2,94,100,3.24,RU,1728599299
56,atafu village,-8.5421,-172.5159,82.45,76,32,9.89,TK,1728599300
57,puerto natales,-51.7236,-72.4875,45.05,61,75,19.57,CL,1728599301
58,olonkinbyen,70.9221,-8.7187,26.82,91,100,45.99,SJ,1728599302
59,el soberbio,-27.2985,-54.1988,69.93,98,100,3.53,AR,1728599303
60,kasempa,-13.4584,25.8338,62.83,28,0,5.84,ZM,1728599304
61,ozurgeti,41.9231,42.0059,66.42,82,99,4.9,GE,1728599305
